CSP2 FAILURE TYPE,MINE,ORE TYPE,DAM TYPE,DAM FILL MATERIAL,DAM HEIGHT in meters,"STORAGE VOLUME
cu. Meters",ICOLD TYPE,ICOLD INCIDENT TYPE,ICOLD INCIDENT NUMBER,INCIDENT YEAR,INCIDENT DATE,"RELEASE
(cu. meters)",RUNOUT km,DEATHS,SOURCES,NOTES,DEPOSIT TYPE,ORE TYPE,Resources  Mtonnes,Cu grade,Au grade in ppm,CuEq,1st Prod,Est Mill through-put to event Mtonnes,Adverse Minerals
,as of: 22Aug16,,,,,,,,,,,,,,,,,,,,ORE DEPOSIT DATA,,,,
2,"Sebastião das Águas Claras, Nova Lima district, Minas Gerais, Brazil",Fe,,,,,1A-U,1, - ,2001,22-jun-01,,8,2,WISE,"2 killed, 3 missing. Taililngs 8 km downstream the Córrego Taquaras stream, mud affected an area of 30 hectares",Strat,Fe,,,,,,,
1,"Nandan Tin mine, Dachang, Guangxi",Sn,,,,,1A-U,1,,2000,18-oct-00,,,28,"Wei, WISE","WISE:15 killed, 100 missing, 100 houses destroyed",,Sn,,,,,,,"Py, Asp, Ga"
1,"Inez, Martin County, Kentucky, USA (Massey Energy subsidiary Martin Co. Coal Corp)",Coal,,,,,1A-U,1,Table 1,2000,11-oct-00,"1,068,500",120,,"ICOLD, WISE","Estimated 250 million gallons (950,000 m3) of water and 155,000 cubic yards (118,500 m3) of coal waste into local streams 80' deep over a 15-18' crown pillar; $46M for cleanup, $3.5M in state fines; since this event, 22 impoundment spills attributed to Massey-operated sites through2010 (Wheeling Jesuit Univ.)",,Coal,,,,,,,
1,"Aitik mine, near Gällivare, Sweden (Boliden Ltd)",Cu,DS,MW & E,15,"15,000,000",1A-ER,1,Table 1,2000,8-sep-00,"1,800,000",5.2,,"ICOLD, WISE","Failure at containment wall separating tailings pond from decant pond, which caused a 1.3m rise I nwater level. Discharge was controlled and only increase in suspended solids in the Leipojoki and Sakajoki Rivers was reported. https://pure.ltu.se/portal/files/96533586/Numerical_analysis_of_staged_construction_of_an_upstream_tailings_dam.pdf",PCD,Cu,1340,0.4,0.2,0.560418709,1968,317,Py
3,"Borsa, Romania (Remin S.A - govt)",Pb Zn,,,,,1A-U,1,Table 1,2000,10-mar-00,"9,140",,,WISE,"22,000 t of heavy-metal contaminated tailings, contamination of the Vaser stream, tributary of the Tisza River. Company: Remin SA",,Pb Zn,,,,,,,Py
1,"Baia Mare, Romania ",Au,DS then US,T,A few m,"800,000",1A-ST,1,221,2000,30/Jan/00,"100,000",>100,,"ICOLD, WISE, Rico","(Aurul SA-Esmeralda Exploration, Australia (50%), Remin S.A. (44.8%))  Killed tonnes of fish and poisoned drinking water of more than 2 million people in Hungary; retreating old tailings (mining there for over 2,000 years) with cyanide; high snowfall led to water rise and overtopping causing a breach 25m wide and 2.5m deep (livebettermagazine.com)",Tailings,Au,,,,,1999,,"St, Bi, Py, Ga"
1,"Toledo City, Philippines (Atlas Con Mining Corp)",Cu,,,,,1B-ST,1,,1999,9/Aug/99,"5,700,000",,,Piplinks,Drainage tunnel blowout,PCD,Cu,2000,0.34,0.24,0.532502451,1955,575,Py
3,"Red Mountain, BC",Au Ag,Jumbo,,,,1A-SE,1,,1999,5-jun-99,"10,000",,,"Mt Polley Expert Panel 2015, App. I",Failure of the surface water diversion culvert beneath the facility. Discharge of tailings into the water reclaim pond downstream of the impoundment and into Little Sheep Creek.,,Au Ag,,,,,,,
2,"Surigao Del Norte Placer, Philippines (#3 of 3) Manila Mining Corp",Au,,,,,3,3,Table 1,1999,26/Apr/99," 700,000 t ",12,4,"ICOLD, Piplinks","Manila Mining Corp.  Tailings spill from damaged concrete pipe.  17 homes buried, 51 hectares of riceland swamped.",Placer,Au,,,,,,,
3,"Huelva, Spain (Fertiberia, Foret)",P,,,,,1A-OT,1,Table 1,1998,31/Dec/98,"50,000",,,"ICOLD, WISE","Fertiberia phosphate mine, 50,000 m3 of acidic and toxic water",Strat,P,,,,,,,
3,"Zamboanga Del Norte, Sibutad Gold Project (Philex Mining Corp)",Au,,,,,1A-OT,1,-,1998,27-jun-98,,,,Piplinks,Philex Gold Philippines Inc. Heavy rain resulted in overflowing of silt dam at the Sibutad gold project,,Au,,,,,,,
1,"Los Frailes, near Seville, Spain (Boliden Ltd.)",Pb Zn,WR,R,27,"15,000,000",1A-FN,1,209,1998,25/Apr/98,"6,800,000",41,,"ICOLD, WISE, Rico",Modern mining started in 1876 at nearby Aznalcollar; Andaluza de Piritas started open pit in 1979 after delineating recently-discovered mineralization; Boliden purchased company in 1987.,VMS,Pb Zn,161,0.44,,2.53927127,1979,,PY
2,"Mulberry Phosphate, Polk County, Florida, USA (Mulberry Phosphate)",P,,,,,2A-SE,2,-,1997,7/Dec/97,"200,000",,,WISE; Beavers 2013.,"Phosphogypsum stack failure. Biota in the Alafia River eliminated (WISE). Mulberry Phosphate had a gypsum stack dam break that resulted in the release of approximately 50 million gallons of waters into adjacent marshes and ponds. Acidic water eventually traveled down the Alafia toward Tampa Bay. Estimates of fish killed ranged from 50,000 to 3,000,000 (An Overview of Phosphate Mining and Reclamation in Florida, Casey Beavers, University of Florida thesis, April 2013).",Strat,P,,,,,,,
3,"Zamboanga Del Norte, Sibutad Gold Project (Philex Mining Corp)",Au,,,,,1A-OT,1,-,1997,6-nov-97,,,,Piplinks,Philex Gold Philippines Inc. Heavy rain caused mudflow and rockslide into silt dam at Lalab. Flashfloods damaged nearby houses and rice fields.,,Au,,,,,,,
